Japanese,English
ugoku,move
sen,line
nanoka,"seven days, seventh of the month"
igai,except for
otoko,"man, male"
kare,"he, one’s boyfriend"
onna,woman
tsuma,woman
hyaku,hundred
atari,vicinity
mise,"shop, store"
shimaru,"be shut, be closed"
mondai,"problem, question"
hitsuyou,"need, necessary"
motsu,"last long, be durable"
hiraku,open
sakunen,"last year (formal, often used in writing)"
naoru,"be cured, get well"
doru,dollar
shisutemu,system (loan word)
ijou,"more than, not less than"
saikin,"recent, latest"
sekai,world
konpyu-ta-,computer
yaru,give (to an inferior)
imi,"meaning, sense"
fueru,"increase, accrue"
erabu,"choose, elect"
seikatsu,"life, living"
susumeru,"go ahead, proceed"
tsuzukeru,"continue, keep up"
hotondo,"almost, hardly"
kaisha,"company, corporation"
ie,"house, dwelling"
ooku,"much, largely"
hanashi,"talk, story"
agaru,"go up, rise (physical movement)"
mou,"another, again"
atsumeru,"collect, gather"
koe,"voice, sound"
hajimete,for the first time
kawaru,"change, turn into"
mazu,"first of all, to begin with"
shakai,society
puroguramu,program booklet
chikara,"strength, power"
konkai,this time
yotei,"schedule, plan"
mama,"as is, still (in the current state)"
terebi,television
heru,"decrease, diminish"
kieru,"be extinguished, disappear"
kazoku,"family, household"
kuraberu,"compare, contrast"
umareru,"be born, come into existence"
tada,free
korera,these
shiraberu,"investigate, check"
jiko,"accident, trouble"
denwa,"telephone, phone call"
gaikoku,foreign country
ginkou,bank
juubun,"enough, plentiful"
amari,(not) much
shashin,photograph
kurikaesu,repeat
shurui,"kind, type"
iken,opinion
shinbun,newspaper
bunshou,"sentence, writing"
medatsu,"stand out, be conspicuous"
aite,"opponent, the other party"
byouin,hospital
atsui,"thick, bulky"
isogashii,"busy, occupied"
usui,"thin, weak"
kawa,"river, stream"
kurai,"dark, gloomy"
kurasu,class (in school)
kuroi,"black, dark"
basu,bus
aoi,blue
kaimono,"shopping, purchase"
kusuri,"drug, medicine"
satou,sugar
yasumi,"holiday, break"
yuubinkyoku,post office
juusho,address
kochira,"here, this way (polite)"
saifu,"purse, wallet"
pasupo-to,passport
isu,chair
kawaii,"cute, sweet"
ojiisan,grandfather (colloquial)
kitte,postage stamp
suzushii,cool (of temperature)
ikutsu,"how many, how old"
menyu-,menu
denki,"electricity, electric light"
katsu,win
makeru,lose
tateru,"build, erect"
nikki,diary
urikire,sell out
omawarisan,police officer (colloquial)
mezamashitokei,alarm clock
reshi-to,receipt (loan word)
tisshu,tissue
haburashi,toothbrush
oriru,"go down, come down"
arau,wash
pa-to,part-time
